Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment,aspect_encoded,sentiment_encoded
cách dạy của thầy em rất thích .,cách dạy của thầy em rất thích,cách dạy,Teaching quality,rất thích,Positive,5,2
"ra đề thì phải có đáp án , để sinh viên tập dần thói quen đọc code .","ra đề thì phải có đáp án , để sinh viên tập dần thói quen đọc code",đề thì,Test and evaluation,"ra đề thì phải có đáp án , để sinh viên tập dần thói quen đọc code",Neutral,6,1
"giảng quá nhanh với phần bài tập , không nắm bắt được các dạng bài làm nó như thế nào .","giảng quá nhanh với phần bài tập , không nắm bắt được các dạng bài làm nó như thế nào",giảng,Support from lecturers,không nắm bắt được,Negative,4,0
"thưa , em rất hài lòng về các buổi học và sự hài hước của thầy .","thưa , em rất hài lòng về các buổi học và sự hài hước của thầy",các buổi học và sự hài hước của thầy,Teaching quality, rất hài lòng,Positive,5,2
"cập nhật liên tục những công nghệ mới , không giảng dạy những công nghệ đã quá cũ trang thiết bị thực hành cần hoàn thiện .",không giảng dạy những công nghệ đã quá cũ trang thiết bị thực hành cần hoàn thiện,công nghệ đã quá cũ trang thiết bị thực hành,Learning environment,cần hoàn thiện,Negative,2,0
"có hoạt động outdoor , rèn luyện kỹ năng quay phim , dựng phim .","có hoạt động outdoor , rèn luyện kỹ năng quay phim , dựng phim",hoạt động outdoor,Organization and management,có,Positive,3,2
"thầy giáo sôi nổi truyền đạt kiến thức tốt , gần gũi với học sinh , vui vẻ .",thầy giáo sôi nổi,thầy giáo sôi nổi,Teaching quality, sôi nổ,Positive,5,2
mong thầy tập trung vào nội dung giảng dạy .,mong thầy tập trung vào nội dung giảng dạy,thầy,Support from lecturers,tập trung vào nội dung giảng dạy,Positive,4,2
"giảng viên chưa truyền đạt bài giảng một cách liền mạch , còn lúng túng .","giảng viên chưa truyền đạt bài giảng một cách liền mạch , còn lúng túng",truyền đạt bài giảng,Teaching quality,"chưa truyền đạt bài giảng một cách liền mạch , còn lúng túng",Negative,5,0
không cho thời gian báo cáo rõ ràng .,không cho thời gian báo cáo rõ ràng, thời gian báo cáo rõ ràn,Test and evaluation,không cho,Negative,6,0
thầy giảng nhiệt tình .,thầy giảng nhiệt tình,giảng,Teaching quality,nhiệt tình,Positive,5,2
quan tâm đến từng sinh viên trong lớp .,quan tâm đến từng sinh viên trong lớp,quan tâm đến từng sinh viên trong lớp,Support from lecturers,quan tâm đến từng sinh viên trong lớp,Positive,4,2
giảng viên cần đưa lên các diễn đàn nhiều tài liệu môn học hơn .,giảng viên cần đưa lên các diễn đàn nhiều tài liệu môn học hơn,tài liệu môn học,Course information,cần,Neutral,0,1
thầy có cho bài tập .,thầy có cho bài tập,bài tập,Workload,có,Neutral,7,1
về bài ngữ pháp trên moodle doubledot giảng viên chỉ chấm có làm hay không và đếm số bài mà không cần xem nội dung sinh viên có làm đúng hay không và không sửa bài ngữ pháp trên moodle .,về bài ngữ pháp trên moodle doubledot giảng viên chỉ chấm có làm hay không và đếm số bài mà không cần xem nội dung sinh viên có làm đúng hay không và không sửa bài ngữ pháp trên moodle,về bài ngữ pháp trên moodle doubledot giảng viên chỉ chấm có làm hay không và đếm số bài mà không cần xem nội dung sinh viên có làm đúng hay không và không sửa bài ngữ pháp trên moodle,General review,giảng viên chỉ chấm có làm hay không và đếm số bài mà không cần xem nội dung sinh viên có làm đúng hay không và không sửa bài ngữ pháp trên moodle,Negative,1,0
"thầy tuy rất dễ , nhưng việc không điểm danh và tạo deadline cho các buổi thực hành sẽ gây ra ảnh hưởng tiêu cực nhiều hơn tích cực .","thầy tuy rất dễ , nhưng việc không điểm danh và tạo deadline cho các buổi thực hành sẽ gây ra ảnh hưởng tiêu cực nhiều hơn tích cực",không điểm danh và tạo deadline,Organization and management,ảnh hưởng tiêu cực,Negative,3,0
cần đổi máy chiếu .,cần đổi máy chiếu,máy chiếu,Learning environment,cần đổi,Neutral,2,1
"cô giảng dễ hiểu , nhiệt tình .","cô giảng dễ hiểu , nhiệt tình",cô,Support from lecturers,nhiệt tình,Positive,4,2
nâng cấp phiên bản của các phần mềm .,nâng cấp phiên bản của các phần mềm,phiên bản của các phần mềm,Learning environment,nâng cấp,Neutral,2,1
cập nhật thêm những cấu trúc lập trình mới !,cập nhật thêm những cấu trúc lập trình mới ,những cấu trúc lập trình mới,Course information,cập nhật thêm,Neutral,0,1
cảm ơn thầy !,cảm ơn thầy,cảm ơn thầy,General review,cảm ơn,Positive,1,2
"giáo án ngắn gọn , dễ hiểu , dạy học nhiệt tình .",dạy học nhiệt tình,dạy học,Teaching quality,nhiệt tình,Positive,5,2
"giáo viên dạy sát chương trình , lượng kiến thức truyền đạt đầy đủ .",lượng kiến thức truyền đạt đầy đủ,truyền đạt,Teaching quality,đầy đủ,Positive,5,2
thời gian hướng dẫn thực hành quá ít so với môn học .,thời gian hướng dẫn thực hành quá ít so với môn học,thời gian hướng dẫn thực hành,Support from lecturers,quá ít,Negative,4,0
"thầy nhiệt tình , vui tính , truyền đạt hay .","thầy nhiệt tình , vui tính , truyền đạt hay",thầy,Support from lecturers,vui tính,Positive,4,2
thầy dạy khó hiểu .,thầy dạy khó hiểu,thầy dạy,Teaching quality, khó hiểu,Negative,5,0
không có gì phàn nàn về giảng viên .,không có gì phàn nàn về giảng viên,giảng viên,Support from lecturers,không có gì phàn nàn,Positive,4,2
cô dạy hay và có tâm .,cô dạy hay và có tâm,dạy,Teaching quality,hay và có tâm,Positive,5,2
thầy dạy hay và rất nhiệt tình la em và các bạn theo xu hướng tốt .,thầy dạy hay và rất nhiệt tình,thầy dạy,Teaching quality,hay và rất nhiệt tình,Positive,5,2
thầy giảng rất tận tâm .,thầy giảng rất tận tâm,thầy,Support from lecturers,rất tận tâm,Positive,4,2
nhạt nhẽo và khá nhảm .,nhạt nhẽo và khá nhảm,nhạt nhẽo và khá nhảm,Teaching quality,nhạt nhẽo và khá nhảm,Negative,5,0
"cô dạy nhiệt tình , tạo được động lực cho sinh viên .",tạo được động lực cho sinh viên,tạo được động lực cho sinh viên,Support from lecturers,tạo được động lực ,Positive,4,2
không có buổi học bù nào .,không có buổi học bù nào,buổi học bù,Organization and management,không có,Negative,3,0
"giải thích rõ nội dung của mỗi bài trước khi thực hành , giải đáp các thắc mắc của sinh viên trong quá trình thực hành .",giải đáp các thắc mắc của sinh viên trong quá trình thực hành,giải đáp các thắc mắc của sinh viên,Support from lecturers,giải đáp các thắc mắc,Positive,4,2
"giảng dạy dễ hiểu , tận tâm !","giảng dạy dễ hiểu , tận tâm",giảng dạy,Teaching quality,"dễ hiểu , tận tâm",Positive,5,2
"thầy dạy hay , quan tâm học sinh , nhiệt tình .","quan tâm học sinh , nhiệt tình","quan tâm học sinh , nhiệt tình",Support from lecturers,"quan tâm học sinh , nhiệt tình",Positive,4,2
có kiến thức để lập trình .,có kiến thức để lập trình,lập trình,Course information,có kiến thức,Positive,0,2
cô dạy quá tốt .,cô dạy quá tốt,dạy,Teaching quality,quá tốt,Positive,5,2
"thầy đưa ra phương pháp làm bài cụ thể , dễ hiểu .","thầy đưa ra phương pháp làm bài cụ thể , dễ hiểu",phương pháp làm bài,Teaching quality,"cụ thể , dễ hiểu",Positive,5,2
"thầy rất nhiệt tình , hòa đồng với sinh viên .",hòa đồng với sinh viên,hòa đồng với sinh viên ,Teaching quality, hòa đồng,Positive,5,2
"cô giảng nhiệt tình dễ hiểu , giúp sinh viên giải quyết nhiều vấn đề trong lúc thực hành .",cô giảng nhiệt tình dễ hiểu,giảng,Teaching quality,nhiệt tình dễ hiểu,Positive,5,2
cô còn cho ít bài tập .,cô còn cho ít bài tập,bài tập,Workload,còn cho ít,Negative,7,0
"đồ án cuối kỳ của em được giảng viên xem xét và góp ý chỉ sửa duy nhất một lỗi là hoàn thiện khi báo cáo trong năm học , nhưng đến cuối kỳ giảng viên lại cố gắng tìm ra lỗi khác để cho sinh viên rớt môn .",nhưng đến cuối kỳ giảng viên lại cố gắng tìm ra lỗi khác để cho sinh viên rớt môn,nhưng đến cuối kỳ giảng viên lại cố gắng tìm ra lỗi khác để cho sinh viên rớt môn,Test and evaluation,cố gắng tìm ra lỗi khác để cho sinh viên rớt môn,Negative,6,0
"tốt , dễ hiểu .","tốt , dễ hiểu","tốt , dễ hiểu",Teaching quality,"tốt , dễ hiểu",Positive,5,2
hướng dẫn dễ hiểu .,hướng dẫn dễ hiểu,hướng dẫn,Support from lecturers,dễ hiểu,Positive,4,2
"truyền đạt không được tốt , buồn ngủ , hàn lâm .","truyền đạt không được tốt , buồn ngủ , hàn lâm",truyền đạt ,Teaching quality,"không được tốt , buồn ngủ , hàn lâm",Negative,5,0
"giáo viên dạy hay , bài giảng rất chi tiết , sinh viên viết bài nhiều nhưng dễ tiếp thu .",sinh viên viết bài nhiều nhưng dễ tiếp thu,sinh viên viết bài nhiều,General review,nhưng dễ tiếp thu,Positive,1,2
ít cho bài tập .,ít cho bài tập,bài tập,Teaching quality,ít,Negative,5,0
cần có một vài project nhỏ .,cần có một vài project nhỏ,cần có một vài project nhỏ,General review,cần có một vài project nhỏ,Neutral,1,1
nội dung thi cũng chỉ toàn lý thuyết .,nội dung thi cũng chỉ toàn lý thuyết,nội dung thi,Test and evaluation,toàn lý thuyết,Neutral,6,1
"bài học nội dung tốt , sinh động .","bài học nội dung tốt , sinh động",bài học nội dung,Course information,"tốt , sinh động",Positive,0,2
đó là giáo trình và tài liệu .,đó là giáo trình và tài liệu,giáo trình và tài liệu,Support from lecturers,đó là,Neutral,4,1
so sánh không mang tính tương quan .,so sánh không mang tính tương quan,so sánh,Support from lecturers,không mang tính tương quan,Negative,4,0
"giảng viên không cung cấp tài liệu cho sinh viên , khả năng truyền đạt của giảng viên chưa tốt .","giảng viên không cung cấp tài liệu cho sinh viên , khả năng truyền đạt của giảng viên chưa tốt ",giảng viên,Support from lecturers,không cung cấp tài liệu,Negative,4,0
"thầy có thái độ phân biệt , chỉ quan tâm đến một vài sinh viên .","thầy có thái độ phân biệt , chỉ quan tâm đến một vài sinh viên","thái độ phân biệt , chỉ quan tâm",Support from lecturers,"phân biệt , chỉ quan tâm đến một vài sinh viên",Negative,4,0
thầy dành thời gian cho các nhóm thuyết trình nhưng không duyệt lại những kiến thức do các nhóm thuyết trình là đúng hay không .,thầy dành thời gian cho các nhóm thuyết trình,dành thời gian cho các nhóm thuyết trình,Support from lecturers,dành thời gian cho,Positive,4,2
giảng dạy cặn kẽ dễ hiểu .,giảng dạy cặn kẽ dễ hiểu,giảng dạy,Teaching quality,cặn kẽ dễ hiểu,Positive,5,2
nguyên tắc và tận tình giảng dạy .,nguyên tắc và tận tình giảng dạy,giảng dạy,Teaching quality,tận tình,Positive,5,2
"giảng nhiệt tình , rèn luyện sinh viên kỹ năng làm việc nhóm , chủ động trong học tập .","giảng nhiệt tình , rèn luyện sinh viên kỹ năng làm việc nhóm , chủ động trong học tập",giảng,Teaching quality,"nhiệt tình , rèn luyện sinh viên kỹ năng làm việc nhóm , chủ động trong học tập",Positive,5,2
"giảng viên cần tích cực đi dạy đầy đủ , gần gũi với sinh viên hơn thay vì lên cho bài tập rồi ngồi một chỗ .",giảng viên cần tích cực đi dạy đầy đủ,đi dạy,Organization and management,cần tích cực,Negative,3,0
môn học này rất thú vị và có ứng dụng nhiều trong thực tiễn cuộc sống !,môn học này rất thú vị và có ứng dụng nhiều trong thực tiễn cuộc sống,môn học,Course information,rất thú vị ,Positive,0,2
đề thi thực hành quá khó .,đề thi thực hành quá khó,đề thi thực hành,Test and evaluation,quá khó,Negative,6,0
thực hành có nhiều bài tập về thực tế càng tốt !,thực hành có nhiều bài tập về thực tế càng tốt,thực hành,Course information,có nhiều bài tập về thực tế càng tốt,Positive,0,2
giải chi tiết bài .,giải chi tiết bài,giải chi tiết bài,Support from lecturers,giải chi tiết bài,Positive,4,2
cách dạy tốt .,cách dạy tốt,cách dạy,Teaching quality,tốt,Positive,5,2
"chương trình của môn khá nặng ở những phần cuối , cần giảm tải một số phần để có hiệu quả trong việc tiếp thu .",chương trình của môn khá nặng ở những phần cuối,chương trình của môn,Course information,khá nặng ở những phần cuố,Negative,0,0
đi dạy trễ .,đi dạy trễ,đi dạy,Teaching quality,trễ,Negative,5,0
"cô giáo thân thiện dễ gần , thực hành nhiều .","cô giáo thân thiện dễ gần , thực hành nhiều","cô giáo thân thiện dễ gần , thực hành nhiều",Teaching quality,"thân thiện dễ gần , thực hành nhiều",Positive,5,2
thầy dễ tính .,thầy dễ tính,thầy dễ tính,Support from lecturers,dễ tính,Positive,4,2
"lúc đầu vào học thì chưa tập trung nội dung học , mất thời gian nhưng về sau đã tập trung việc học hơn .",mất thời gian nhưng về sau đã tập trung việc học hơn,tập trung việc học hơn,Teaching quality,về sau đã tập trung,Neutral,5,1
mong có sự hỗ trợ trong thực hành .,mong có sự hỗ trợ trong thực hành,mong có sự hỗ trợ trong thực hành,Support from lecturers,mong có sự hỗ trợ trong thực hành,Negative,4,0
"kết thúc môn học , sinh viên không được chạm tay sử dụng bất kỳ phần mềm nào được giới thiệu .","kết thúc môn học , sinh viên không được chạm tay sử dụng bất kỳ phần mềm nào được giới thiệu ",kết thúc môn học,Course information,không được chạm tay sử dụng,Negative,0,0
giáo viên không đến lớp trong các buổi thực hành nhưng không báo trước .,giáo viên không đến lớp trong các buổi thực hành nhưng không báo trước,giáo viên,Support from lecturers,không báo trước,Negative,4,0
nhiệt tình và đúng giờ .,nhiệt tình,nhiệt tình,Support from lecturers,nhiệt tình,Positive,4,2
"thầy giảng hay , dễ hiểu , có nhiều ví dụ .","thầy giảng hay , dễ hiểu , có nhiều ví dụ",giảng,Teaching quality,"hay , dễ hiểu , có nhiều ví dụ",Positive,5,2
thầy vui vẻ tận tâm .,thầy vui vẻ tận tâm,vui vẻ tận tâm,Teaching quality,vui vẻ tận tâm,Positive,5,2
"hòa đồng , vui tính , nhiệt tình .","hòa đồng , vui tính , nhiệt tình","hòa đồng , vui tính , nhiệt tình",Support from lecturers,vui tính,Positive,4,2
tương tác với sinh viên cực kỳ tốt .,tương tác với sinh viên cực kỳ tốt,tương tác với sinh viên,Support from lecturers,cực kỳ tốt,Positive,4,2
thầy dạy không có tương tác nhiều .,thầy dạy không có tương tác nhiều ,thầy dạy ,Teaching quality,không có tương tác nhiều,Negative,5,0
"nhiệt tình , tận tình .","nhiệt tình , tận tình","nhiệt tình , tận tình",Support from lecturers,tận tình,Positive,4,2
"thi cuối kỳ đến và chúng em chưa học được hết môn mạng , không có buổi ôn tập , không có đề cương .",không có đề cương,đề cương,Course information,không có,Negative,0,0
"thầy thân thiện , dạy dễ hiểu , phương pháp giảng dạy hay .","thầy thân thiện , dạy dễ hiểu , phương pháp giảng dạy hay",thầy,Support from lecturers,hay,Positive,4,2
"cần có nhiều tài liệu để học hơn , có các trò chơi để sinh viên dễ hiểu bài hơn .",có các trò chơi để sinh viên dễ hiểu bài hơn,có các trò chơi để sinh viên dễ hiểu bài hơn,Learning environment,có các trò chơi,Neutral,2,1
thầy chỉ dạy một buổi nên không đánh giá được .,thầy chỉ dạy một buổi nên không đánh giá được,thầy chỉ dạy một buổi,Teaching quality,chỉ dạy một buổi,Neutral,5,1
thầy rất quan tâm đến điểm số của sinh viên .,thầy rất quan tâm đến điểm số của sinh viên, quan tâm đến điểm số của sinh viên,Support from lecturers,rất quan tâm,Positive,4,2
"thầy dạy tận tâm , nhiệt tình , vui vẻ , thân thiện với sinh viên .",thân thiện với sinh viên,thân thiện với sinh viên,Support from lecturers,thân thiện với sinh viên,Positive,4,2
"các tiết thực hạnh hay , thực tế , không khí vui vẻ .", không khí vui vẻ,không khí,Learning environment,vui vẻ,Positive,2,2
"phương pháp dạy hiệu quả , tiếp thu bài nhanh , có ôn lại những phần cũ , giảng viên tích cực , nhiệt tình .","phương pháp dạy hiệu quả , tiếp thu bài nhanh",phương pháp dạy,Teaching quality," hiệu quả , tiếp thu bài nhanh",Positive,5,2
ghi chép quá nhiều .,ghi chép quá nhiều,ghi chép,Teaching quality,quá nhiều,Negative,5,0
"giảng viên cần chú ý thêm về vấn đề lịch thi speaking , thông báo cho sinh viên biết và chuẩn bị trước nội dung thi .",giảng viên cần chú ý thêm về vấn đề lịch thi speaking,lịch thi speaking,Organization and management,cần chú ý thêm,Negative,3,0
cô thật nhiệt tình .,cô thật nhiệt tình,cô ,Teaching quality,thật nhiệt tình,Positive,5,2
em rất hài lòng với cách thức giảng dạy của giảng viên cũng như cách thức ra bài tập cho sinh viên .,em rất hài lòng với cách thức giảng dạy của giảng viên cũng như cách thức ra bài tập cho sinh viên,cách thức ra bài tập,Workload,rất hài lòng,Positive,7,2
"giảng viên tận tâm , nhiệt tình , cho sinh viên thuyết trình các chủ đề cho trước , giúp sinh viên tăng cường khả năng làm việc nhóm .","giảng viên tận tâm , nhiệt tình , cho sinh viên thuyết trình các chủ đề cho trước , giúp sinh viên tăng cường khả năng làm việc nhóm",giảng viên tận tâm,Support from lecturers,"tận tâm , nhiệt tình , cho sinh viên thuyết trình các chủ đề cho trước , giúp sinh viên tăng cường khả năng làm việc nhóm",Positive,4,2
giảng dạy có trách nhiệm tuy có nghỉ nhưng có bù đảm bảo đủ lượng kiến thức cho sinh viên .,giảng dạy có trách nhiệm,giảng dạy ,Teaching quality,có trách nhiệm,Positive,5,2
phong thái .,phong thái,phong thái,General review,phong thái,Neutral,1,1
"cô giảng bài rất dễ hiểu , tạo mọi điều kiện tốt nhất cho sinh viên tiếp cận môn học có hiệu quả .", tạo mọi điều kiện tốt nhất cho sinh viên tiếp cận môn học có hiệu quả, tạo mọi điều kiện,Support from lecturers,tốt nhất cho sinh viên tiếp cận môn học có hiệu quả,Positive,4,2
"thầy truyền đạt rất tốt , rất lôi cuốn và thuyết phục .","thầy truyền đạt rất tốt , rất lôi cuốn và thuyết phục",thầy truyền đạt,Support from lecturers,rất lôi cuốn và thuyết phục,Positive,4,2
thầy giảng hơi khó hiểu .,thầy giảng hơi khó hiểu,thầy giảng ,Teaching quality,hơi khó hiểu,Negative,5,0
thầy dạy rất tích cực .,thầy dạy rất tích cực,dạy,Teaching quality,tích cực,Positive,5,2
"không cập nhật tin tức trên moodle , không mở diễn đàn trao đổi .",không mở diễn đàn trao đổi,diễn đàn trao đổi,Support from lecturers,không mở ,Negative,4,0
"thời gian học không bảo đảm , không có dụng cụ học tập đầy đủ , học cưỡi ngựa xem hoa chưa thể hiện được tinh thần võ đạo .","thời gian học không bảo đảm , không có dụng cụ học tập đầy đủ , học cưỡi ngựa xem hoa chưa thể hiện được tinh thần võ đạo",học cưỡi ngựa xem hoa,Course information,không có,Negative,0,0
phương pháp học áp dụng thực tiễn .,phương pháp học áp dụng thực tiễn,phương pháp học,Teaching quality,thực tiễn,Positive,5,2
"giảng viên dạy sinh động , dễ hiểu .","giảng viên dạy sinh động , dễ hiểu",giảng viên,Support from lecturers,dễ hiểu,Positive,4,2
"viết đi viết lại nhiều lần nên giờ tóm gọn vài từ thôi doubledot độc đoán , phân biệt đối xử , "" gia trưởng "" , cứng nhắc , lời nói đôi khi phản sư phạm , xúc phạm người nghe .","viết đi viết lại nhiều lần nên giờ tóm gọn vài từ thôi doubledot độc đoán , phân biệt đối xử , "" gia trưởng "" , cứng nhắc , lời nói đôi khi phản sư phạm , xúc phạm người nghe","viết đi viết lại nhiều lần nên giờ tóm gọn vài từ thôi doubledot độc đoán , phân biệt đối xử , "" gia trưởng "" , cứng nhắc , lời nói đôi khi phản sư phạm , xúc phạm người nghe",Support from lecturers,độc đoán,Negative,4,0
thầy truyền đạt rất nhiệt tình và dễ hiểu .,thầy truyền đạt rất nhiệt tình và dễ hiểu,thầy truyền đạt,Support from lecturers,rất nhiệt tình và dễ hiểu,Positive,4,2
nên soạn slide bài giảng kỹ hơn .,nên soạn slide bài giảng kỹ hơn, soạn slide bài giảng kỹ hơn,Teaching quality,nên ,Neutral,5,1
quá chú trọng vào phần listening .,quá chú trọng vào phần listening,chú trọng vào phần listening,Teaching quality,quá chú trọng,Negative,5,0
được 200 điểm là đươc 1 điểm quá trình .,được 200 điểm là đươc 1 điểm quá trình,200 điểm là đươc 1 điểm quá trình,Test and evaluation,200 điểm là đươc 1 điểm quá trình,Neutral,6,1
nâng cao chất lượng thực thành .,nâng cao chất lượng thực thành,thực thành,Course information,nâng cao chất lượng,Neutral,0,1
thầy nói hơi nhỏ nên có khi nghe được khi không nghe được .,thầy nói hơi nhỏ nên có khi nghe được khi không nghe được,nói,Teaching quality,hơi nhỏ,Negative,5,0
cho bài tập hơi khó .,cho bài tập hơi khó,bài tập,Workload,hơi khó,Negative,7,0
"thầy nên có đề mẫu , bài mẫu .","thầy nên có đề mẫu , bài mẫu","đề mẫu , bài mẫu",Course information, nên có ,Neutral,0,1
"nắm được tất cả tên các thành viên trong lớp , thường xuyên quan tâm tới sinh viên .",thường xuyên quan tâm tới sinh viên,quan tâm,Support from lecturers,thường xuyên,Positive,4,2
tuy nhiên thường cung cấp bài tập trên lớp với thời gian hạn hẹp và chấm điểm thiếu công bằng .,chấm điểm thiếu công bằng,chấm điểm,Test and evaluation,thiếu công bằng,Negative,6,0
"nhiệt tình , kiến thức rất chuẩn , vui vẻ , dễ gần .",nhiệt tình,nhiệt tình,Support from lecturers,nhiệt tình,Positive,4,2
đa phần bài thực hành đã được làm từ những bài tập về nhà của thầy x .,đa phần bài thực hành đã được làm từ những bài tập về nhà của thầy x,bài thực hành,Teaching quality,đa phần bài thực hành đã được làm từ những bài tập về nhà của thầy x,Neutral,5,1
"thầy dạy hay , nhiệt tình giúp đỡ sinh viên , dễ tính sẵn sàng giải đáp mọi thắc mắc của sinh viên .",dễ tính sẵn sàng giải đáp mọi thắc mắc của sinh viên,giải đáp,Support from lecturers,dễ tính sẵn sàng,Positive,4,2
luyện kỹ năng nghe và đọc nhiều hơn .,luyện kỹ năng nghe và đọc nhiều hơn,kỹ năng nghe và đọc,Course information,luyện kỹ năng nghe và đọc nhiều hơn,Neutral,0,1
"sử dụng website môn học , trang thiết bị phục vu giảng dạy còn hạn chế máy chiếu quá mờ , phòng học bị nắng .","sử dụng website môn học , trang thiết bị phục vu giảng dạy còn hạn chế máy chiếu quá mờ , phòng học bị nắng",trang thiết bị phục vu giảng dạy,Learning environment,sử dụng,Positive,2,2
thầy wzjwz237 rất vui và nhiệt tình .,thầy wzjwz237 rất vui và nhiệt tình,thầy wzjwz237 rất vui và nhiệt tình,Support from lecturers,rất vui và nhiệt tình,Positive,4,2
rất hiểu tâm lý các bạn sinh viên ngoài ra còn có những giờ học thật sự thú vị .,ngoài ra còn có những giờ học thật sự thú vị, những giờ học,Learning environment, thật sự thú vị,Positive,2,2
có khả năng truyền đạt tốt .,có khả năng truyền đạt tốt ,khả năng truyền đạt,Teaching quality,có khả năng truyền đạt tốt,Positive,5,2
thầy giảng bài .,thầy giảng bài,thầy giảng bài ,General review,thầy giảng bài ,Neutral,1,1
thay đổi phương thức giảng dạy cho phù hợp hơn .,thay đổi phương thức giảng dạy cho phù hợp hơn,phương thức giảng dạy,Teaching quality,thay đổi phương thức giảng dạy cho phù hợp hơn,Neutral,5,1
"phương pháp dạy dễ hiểu , cách tiếp cận đơn giản và hấp dẫn .",cách tiếp cận đơn giản và hấp dẫn ,cách tiếp cận,Teaching quality,đơn giản và hấp dẫn,Positive,5,2
"dạy dễ hiểu , tận tình giải thích cho sinh viên .","dạy dễ hiểu , tận tình giải thích cho sinh viên",dạy,Teaching quality,"dễ hiểu , tận tình",Positive,5,2
"phòng lab thực hành khá cũ , nhiều máy hư gây khó khăn cho sinh viên khi thực hành .",phòng lab thực hành khá cũ,phòng lab,Learning environment,khá cũ,Negative,2,0
"giảng dạy tốt , nhiệt huyết với sinh viên .",nhiệt huyết với sinh viên,nhiệt huyết ,Support from lecturers,nhiệt huyết ,Positive,4,2
"nhiệt tình trong giảng dạy , vui vẻ , hòa đồng với sinh viên .",vui vẻ,vui vẻ,Support from lecturers,vui vẻ,Positive,4,2
do môn học khá khô khan nên em mong thầy liên hệ thêm nhiều ví dụ thực tế hơn để sinh viên dễ nắm bắt nội dung bài giảng .,do môn học khá khô khan, môn học,Course information,khá khô khan,Negative,0,0
